Name,C/AGS-CPU-11,
Status,On/No Cartrige,
Last changed,20.05.25,
Creater,Yarma,
,,
R32,0V,
C4,3.3V,
C5,3.2V,
R6,0V,480Ohm
R48,0V,1000Ohm
C34,0.001V,
C33,0.001V,
R10,0.163V,516Ohm
R14,0.006V,44kOhm
R11,0.163V,365Ohm
R12,0.01V,44kOhm
C21,1.4V,
C14,0.007V,
R13,0.007V,44kOhm
C17,0.003V,
R15,0.003V,44kOhm
R47,0V,144Ohm
C68,5.5V,
C16,1.4V,
C15,1.5V,
C19,1.5V,
C18,1.4V,
R22,0V,255Ohm
R21,0V,534Ohm
R25,0V,1300Ohm
R26,0V,1200Ohm
R27,0V,5850Ohm
R28,0V,5850Ohm
C31,0V,
R53,0V,40Ohm
R20,~10mV,270Ohm
C57,~15V,
C7,5.5V,
C10,3.35V,
C9,0-3.3V,
C8,0-3.3V,
R54,0V,20Ohm
R42,1.95V,526Ohm
C6,0V,
R17,0.44V,59.5Ohm
C74,3.28V,
C53,5V,
C52,5V,
C48,2.3V,
C67,8.77V,
C65,8.8V,
C64,8.5V,
C11,9V,
C12,3.6V,
R9,13.2V,16.25Ohm
